Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
4.400000000000000355e+00,6.643642888375418535e-04,9.178374549166944664e-07,1.048847498343626885e-03,8.863655185619962583e-07,-3.243817633988069105e+00,2.784913138053797966e-03,-6.488052028444573516e+00,1.703993168351445849e-03
4.419999999999999929e+00,6.551928485666874821e-04,9.093844483728509292e-07,1.101137185013807739e-03,8.782359555994335691e-07,-3.245895791683727438e+00,2.789706156353651684e-03,-6.462128876557611257e+00,1.602887328113265395e-03
4.440000000000000391e+00,6.421607703290961025e-04,9.011535087136300880e-07,1.179687898323373597e-03,8.702223685176769774e-07,-3.251526268923803364e+00,2.814868030990954478e-03,-6.473933577715262011e+00,1.480079506340765353e-03
4.459999999999999964e+00,6.234780103449095090e-04,8.934019853014759602e-07,1.272823729586748404e-03,8.628812778142525421e-07,-3.243973420724044487e+00,2.876069211217929626e-03,-6.489366584610362310e+00,1.360290961465579788e-03
4.480000000000000426e+00,6.075618819570292786e-04,8.852306075225419024e-07,1.367366932523937043e-03,8.549984418087312050e-07,-3.227077010575114535e+00,2.939970470993575821e-03,-6.510192183127952781e+00,1.261381681434039842e-03
4.500000000000000000e+00,5.951991551959055294e-04,8.772680599417923428e-07,1.404882116601062448e-03,8.472291218985364527e-07,-3.197468439750393188e+00,2.970973466686292926e-03,-6.580514608838635482e+00,1.215572867815106501e-03
4.500000000000000000e+00,5.893812205896245158e-04,8.772626705746998433e-07,1.466985269159818642e-03,8.472196822201711236e-07,-3.217404126685769583e+00,3.001192973568126473e-03,-6.538437875690738643e+00,1.164683683113322760e-03
4.519999999999999574e+00,5.706116426784397112e-04,8.695129155918883541e-07,1.570726966455564385e-03,8.395988097330484597e-07,-3.203021127179916050e+00,3.072746902656645074e-03,-6.557497352685767389e+00,1.078543775935970157e-03
4.540000000000000036e+00,5.509083545241686124e-04,8.617700563100980851e-07,1.686270665368201855e-03,8.320590401710254935e-07,-3.195187143594745649e+00,3.171414394463415061e-03,-6.574939238198275859e+00,1.001231946388121945e-03
4.559999999999999609e+00,5.255263799985405646e-04,8.541477720851614071e-07,1.828628089123128042e-03,8.250679777959021568e-07,-3.185306211304526514e+00,3.285919173802461565e-03,-6.585855021891773298e+00,9.114430250224644144e-04
4.580000000000000071e+00,4.971457677826221456e-04,8.468502453699763993e-07,2.001794478064310243e-03,8.178441844991601224e-07,-3.168032776012539742e+00,3.446552285421634974e-03,-6.599370043680700348e+00,8.262617676374033049e-04
4.599999999999999645e+00,4.633545432714015751e-04,8.398189284044376267e-07,2.224476327760688352e-03,8.109631421359929060e-07,-3.126284128999051504e+00,3.636465148500238765e-03,-6.611477693102383313e+00,7.314780858678780534e-04
4.599999999999999645e+00,4.691842422805050515e-04,8.392840811208033252e-07,2.184458861850578117e-03,8.107126027363679872e-07,-3.111968980994616274e+00,3.626097946197046496e-03,-6.645088597028566468e+00,7.519894890522790332e-04
4.620000000000000107e+00,4.209333468534941312e-04,8.318353682463834567e-07,2.516048287010607017e-03,8.034490271735600971e-07,-3.081389079571586365e+00,4.007189997549324804e-03,-6.629754682854869685e+00,6.473075627929432852e-04
4.639999999999999680e+00,3.696717900813679156e-04,8.250715467985728809e-07,2.907284540214717140e-03,7.965298611415771349e-07,-2.994664218197408800e+00,4.521480223717558831e-03,-6.651845883301069406e+00,5.555942254521917126e-04
4.660000000000000142e+00,3.048137987206544185e-04,8.179806003802121019e-07,3.493324453710496165e-03,7.899690329592416863e-07,-2.813941014347729030e+00,5.401142759435830464e-03,-6.684754246987309578e+00,4.546533851870916535e-04
