# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.036000000000000920e-01	5.910081346189762774e-01	3.862120579107995028e-02
-8.034999999999999920e-01	6.021314976943931141e-01	2.368046506360969167e-02
-8.034000000000000030e-01	5.947159223107818526e-01	3.115083542734482097e-02
-8.033000000000000140e-01	5.687614084681426041e-01	2.741565024547725632e-02
-8.032000000000000250e-01	6.021314976943931141e-01	2.741565024547725632e-02
-8.031000000000000361e-01	5.984237100025875389e-01	1.994527988174212701e-02
-8.030000000000000471e-01	6.058392853861986893e-01	1.994527988174212701e-02
-8.029000000000000581e-01	5.947159223107818526e-01	1.994527988174212701e-02
-8.028000000000000691e-01	5.947159223107818526e-01	1.994527988174212701e-02
-8.027000000000000801e-01	6.058392853861986893e-01	2.368046506360969167e-02
-8.026000000000000911e-01	6.021314976943931141e-01	3.488602060921238562e-02
-8.024999999999999911e-01	6.206704361534211012e-01	3.115083542734482097e-02
-8.024000000000000021e-01	5.835925592353651270e-01	2.368046506360969167e-02
-8.023000000000000131e-01	5.984237100025875389e-01	4.235639097294750799e-02
-8.022000000000000242e-01	6.021314976943931141e-01	6.103231688228533125e-02
-8.021000000000000352e-01	5.873003469271707022e-01	1.621009469987456583e-02
-8.020000000000000462e-01	6.058392853861986893e-01	2.741565024547725632e-02
-8.019000000000000572e-01	5.835925592353651270e-01	2.741565024547725632e-02
-8.018000000000000682e-01	6.021314976943931141e-01	3.862120579107995028e-02
-8.017000000000000792e-01	6.058392853861986893e-01	2.741565024547725632e-02
-8.016000000000000902e-01	6.095470730780042645e-01	1.621009469987456583e-02
-8.014999999999999902e-01	6.058392853861986893e-01	2.741565024547725632e-02
-8.014000000000000012e-01	5.910081346189762774e-01	8.739724336139436528e-03
-8.013000000000000123e-01	5.798847715435594408e-01	3.488602060921238562e-02
-8.012000000000000233e-01	6.206704361534211012e-01	4.235639097294750799e-02
-8.011000000000000343e-01	5.724691961599482903e-01	3.115083542734482097e-02
-8.010000000000000453e-01	6.169626484616155260e-01	2.741565024547725632e-02
-8.009000000000000563e-01	6.021314976943931141e-01	3.862120579107995028e-02
-8.008000000000000673e-01	5.910081346189762774e-01	2.741565024547725632e-02
-8.007000000000000783e-01	6.021314976943931141e-01	1.994527988174212701e-02
-8.006000000000000894e-01	6.058392853861986893e-01	1.994527988174212701e-02
-8.004999999999999893e-01	6.058392853861986893e-01	3.862120579107995028e-02
-8.004000000000000004e-01	5.947159223107818526e-01	3.488602060921238562e-02
-8.003000000000000114e-01	6.058392853861986893e-01	1.621009469987456583e-02
-8.002000000000000224e-01	6.058392853861986893e-01	1.621009469987456583e-02
-8.001000000000000334e-01	5.798847715435594408e-01	3.115083542734482097e-02
-8.000000000000000444e-01	6.021314976943931141e-01	4.235639097294750799e-02
-7.999000000000000554e-01	6.021314976943931141e-01	5.356194651855020195e-02
-7.998000000000000664e-01	5.947159223107818526e-01	3.862120579107995028e-02
-7.997000000000000774e-01	5.984237100025875389e-01	3.862120579107995028e-02
-7.996000000000000885e-01	6.243782238452267874e-01	4.235639097294750799e-02
-7.994999999999999885e-01	6.021314976943931141e-01	2.741565024547725632e-02
-7.993999999999999995e-01	6.021314976943931141e-01	2.741565024547725632e-02
-7.993000000000000105e-01	5.984237100025875389e-01	4.235639097294750799e-02
-7.992000000000000215e-01	6.095470730780042645e-01	1.994527988174212701e-02
-7.991000000000000325e-01	5.984237100025875389e-01	3.115083542734482097e-02
-7.990000000000000435e-01	5.984237100025875389e-01	3.115083542734482097e-02
-7.989000000000000545e-01	5.724691961599482903e-01	3.115083542734482097e-02
-7.988000000000000655e-01	6.021314976943931141e-01	4.609157615481507264e-02
-7.987000000000000766e-01	6.132548607698099508e-01	3.115083542734482097e-02
