Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
2.899999999999999911e+00,3.653129379340942036e-05,2.111742153284095231e-06,1.350000936121240492e-03,2.039712098543352345e-06,-3.017162437382932438e+00,1.174601957443678207e-01,-3.178502043538704136e+00,3.068081051609461776e-03
3.000000000000000000e+00,2.925108702467554321e-05,1.973581274131529483e-06,1.285798525477914326e-03,1.906245670854919594e-06,-3.123461509779052125e+00,1.365823028102968739e-01,-3.201099418512574069e+00,3.000587044017914186e-03
3.100000000000000089e+00,2.606603458282771493e-05,1.849278808971356437e-06,1.226543607569981599e-03,1.786021090804519289e-06,-3.179175327378472637e+00,1.439845427758944252e-01,-3.194605803244900954e+00,2.954817060468329770e-03
3.200000000000000178e+00,2.591732656899587426e-05,1.735548857157256149e-06,1.163693814589069741e-03,1.676632624772563017e-06,-2.760782816290480390e+00,1.357038085577801645e-01,-3.194971108843434493e+00,2.915310845253977004e-03
3.299999999999999822e+00,2.107049896841508825e-05,1.630768216296754629e-06,1.109752404851610010e-03,1.575509897152987492e-06,-2.954066190461372976e+00,1.559984372466030611e-01,-3.202348983532917970e+00,2.857726994582470304e-03
3.399999999999999911e+00,1.754890474372181074e-05,1.536729956231020477e-06,1.061556026232463208e-03,1.483755310980203229e-06,-2.938083058474612486e+00,1.769032436989148027e-01,-3.216354844205698171e+00,2.825439366880989466e-03
3.500000000000000000e+00,1.750630232870246600e-05,1.450021277062210213e-06,1.011582593416834571e-03,1.400524180673988794e-06,-2.824345190235538983e+00,1.665276233005962558e-01,-3.214866048360694784e+00,2.781515108987203840e-03
3.600000000000000089e+00,1.370132733167530776e-05,1.370696142239603009e-06,9.578798171216184373e-04,1.323438099489776404e-06,-3.069124673015148019e+00,2.020888337347863939e-01,-3.217473272644808091e+00,2.793139763761131201e-03
3.700000000000000178e+00,1.255158343224811317e-05,1.298402984777689911e-06,9.086416753062577078e-04,1.253151814898410403e-06,-2.562036530454730787e+00,2.085509920169743570e-01,-3.226309805950348775e+00,2.786126410396546921e-03
3.799999999999999822e+00,6.390540905030263318e-06,1.230174767535574636e-06,8.514662089337269235e-04,1.188846760343597387e-06,-2.203918149534835003e+00,3.870636961783350261e-01,-3.231433418608222752e+00,2.799781700862949158e-03
3.799999999999999822e+00,5.684034812063850815e-06,1.230474976886983657e-06,8.514541404294116668e-04,1.188292318052565594e-06,-2.212547409491723904e+00,4.393286942932129180e-01,-3.227069443164271689e+00,2.835388488836589147e-03
